name; duration_rust_single_threaded; rust_multi_threaded; rust_rayon ; java_single_threaded; java_multi_threaded; java_multi_threaded_virtual
181; 22; 27;  312;   49;  48
170; 22; 27;  306;   45;  44
170; 22; 23;  307;   45;  45
170; 21; 22;  307;   45;  45
170; 22; 21;  325;   46;  44
170; 21; 24;  306;   44;  44
170; 22; 23;  307;   46;  44
180; 21; 23;  306;   45;  45
170; 22; 21;  305;   48;  44
170; 22; 23;  325;   44;  43
170; 21; 22;  306;   44;  44
170; 23; 23;  305;   45;  39
173; 22; 23;  319;   45;  45
170; 22; 22;  306;   47;  45
170; 23; 23;  315;   48;  45
179; 22; 23;  305;   45;  45
170; 21; 22;  305;   45;  45
170; 22; 23;  309;   47;  46
170; 21; 22;  306;   47;  45
170; 22; 22;  307;   45;  44
181; 22; 24;  326;   45;  45
170; 22; 23;  305;   47;  44
170; 23; 23;  326;   45;  45
170; 21; 25;  307;   45;  45
170; 25; 25;  306;   45;  45
181; 23; 25;  306;   46;  46
170; 21; 23;  307;   45;  44
170; 22; 22;  324;   45;  44
170; 22; 24;  306;   45;  44
170; 22; 21;  306;   44;  44
180; 22; 29;  307;   45;  45
171; 23; 22;  307;   45;  45
170; 21; 35;  325;   45;  44
170; 22; 24;  308;   45;  46
170; 22; 24;  308;   46;  46
181; 22; 25;  325;   45;  46
170; 21; 25;  306;   44;  44
170; 21; 25;  314;   46;  45
170; 22; 22;  306;   47;  44
170; 22; 27;  307;   45;  44
170; 21; 23;  309;   44;  44
170; 21; 22;  306;   45;  44
170; 23; 22;  306;   46;  45
181; 21; 24;  306;   45;  45
170; 21; 23;  306;   50;  44
170; 22; 22;  325;   45;  44
170; 21; 22;  306;   47;  45
170; 22; 24;  308;   45;  44
180; 21; 22;  325;   45;  45
170; 22; 23;  307;   44;  45
